system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
drosophila,1-2,0.05,HOPE,0.9297332732412832,0.710549159763491,0.2349256445746759,-0.8253731400081509,-12.811283809848227,-33.43736905049403
drosophila,1-3,0.05,HOPE,0.9456073910691248,0.6629072918445915,0.1790745384247709,-1.427447996480514,-9.434143624693942,-29.354872241592656
drosophila,2-3,0.05,HOPE,0.6145833333333334,0.5959836748648475,0.4756389372377034,-0.2544670714577612,1.1761120746817133,-8.864725294006993
drosophila,1-2,0.05,HOPE,0.9297332732412832,0.7107946120814659,0.23347161457659404,-0.8194770004027604,-13.214086545376539,-33.45208044070897
drosophila,1-3,0.05,HOPE,0.9457738565899538,0.6637303650555411,0.18125483210339907,-1.4272859817696328,-9.193289755251662,-29.385028226195114
drosophila,2-3,0.05,HOPE,0.6154891304347826,0.6060112395564008,0.4811412005242633,-0.262748299372663,-1.3540196639359199,-8.681115139170291
drosophila,1-2,0.05,HOPE,0.9347318392264514,0.7188773521626028,0.28007274710416014,-0.8437864087391541,-2.7704019337862147,-40.69805141266574
drosophila,1-3,0.05,HOPE,0.9475633609388655,0.6864087844130888,0.2243861474514247,-1.319811207237962,1.3694804511181804,-35.35141362164825
drosophila,2-3,0.05,HOPE,0.6408514492753623,0.635661445757388,0.5151317894092866,-0.23180609680526534,-1.0807383848692604,-13.307928887393336
drosophila,1-2,0.05,HOPE,0.9351825296021633,0.7188823217492529,0.28040155058044536,-0.8462855852730842,-2.459971926995971,-40.74537075112833
drosophila,1-3,0.05,HOPE,0.9475633609388655,0.6861142797487021,0.22369882118771406,-1.3211336398393652,1.5425734549876877,-35.38013138358013
drosophila,2-3,0.05,HOPE,0.6381340579710145,0.637123015449048,0.5159372113878248,-0.2361739077614618,-0.6000099308185979,-13.325486994770756
drosophila,1-2,0.05,HOPE,0.9370672348096858,0.7337569960703477,0.3114041492429295,-0.8618277651010754,-1.6038711584355725,-39.9626856730665
drosophila,1-3,0.05,HOPE,0.9470223479961712,0.7059915300146483,0.2391632363563001,-1.291215300705436,4.569951329423878,-37.114035560754616
drosophila,2-3,0.05,HOPE,0.6322463768115942,0.6129768146574869,0.4884089606314007,-0.14825354647429526,2.0054707370410885,-9.518555445778683
drosophila,1-2,0.05,HOPE,0.936903347400336,0.7340454385904782,0.3110877441005684,-0.8577752406791248,-1.9564826195781404,-39.922990678438836
drosophila,1-3,0.05,HOPE,0.9470639643763785,0.7059537460464198,0.24016575955005226,-1.2907921581890547,4.405125328439306,-37.040803970307834
drosophila,2-3,0.05,HOPE,0.6336050724637681,0.609633597028555,0.4857713935964193,-0.15911124567568288,-0.740491205499385,-9.15597346856391
drosophila,1-2,0.05,HOPE,0.9331749088376285,0.7150985079019063,0.2734025503270534,-0.8705727613853005,-7.588738667041775,-38.655520896607094
drosophila,1-3,0.05,HOPE,0.948145990261767,0.7192212761060929,0.27679396454996325,-1.2375199153378815,1.2099098176013765,-42.04605161965214
drosophila,2-3,0.05,HOPE,0.6358695652173914,0.6453991853151517,0.5137382345816008,-0.16992288419727017,-0.7200049021792093,-9.870955427552182
drosophila,1-2,0.05,HOPE,0.9330110214282787,0.7151626792933056,0.274695603100109,-0.8764438039251248,-6.940950327473207,-38.70675467742029
drosophila,1-3,0.05,HOPE,0.9480211411211453,0.719126378702911,0.2765208349768471,-1.2397632805444032,1.3750526674052206,-42.06221205584728
